title,romanized,productId,platform,gameFilename,thumbnailFilename,manualFilename,musicFilename,Store Page
【BEEP EXTRA GAMES アンデッドラインMSX2復刻記念Ver】アンデッドライン,BEEP EXTRA GAMES Undeadline MSX2 Fukkoku Kinen Ver - Undeadline,1560,MSX2,TAE1015a.bin,TAE1015.bmp,TAE1015m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1560
【BEEP EXTRA GAMES 真・魔王ゴルべリアスMSX2復刻記念Ver】真・魔王ゴルべリアス,BEEP EXTRA GAMES Shin-Maou Golvellius MSX2 Fukkoku Kinen Ver - Shin-Maou Golvellius,1566,MSX2,COM1040a.bin,COM1015.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1566
1chipMSXテストデータ_act,1-chip MSX Test Data act,509,MSX,2,aaaa509.rombbb,,,https://www.amusement-center.com/project/egg/game/?product_id=509
38万キロの虚空,38-man Kilo no Kokuu,576,PC-9801,,SAC0016.bmp,SAC0016m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=576
38万キロの虚空,38-man Kilo no Kokuu,1698,PC-9801,SAC0016a.bin,SAC0016.bmp,SAC0016m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1698
3Dゴルフシミュレーション スーパーバージョン,3D Golf Simulation - Super Version,1617,PC-6601,TAE0040a.bin,TAE0040.bmp,TAE0040m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1617
3Dゴルフシミュレーション スーパーバージョン,3D Golf Simulation - Super Version,1791,PC-6601,TAE0040a.bin,TAE0040.bmp,TAE0040m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1791
8ビットリズムランド,8-bit Rhythm Land,1628,FC,CBC0002a.bin,CBC0002.bmp,CBC0002m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1628
ABYSS,Abyss,190,PC-8801,HAM0004a.bin,HAM0004.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=190
ABYSS,Abyss,1135,PC-8801,HAM0008a.bin,HAM0008.bmp,HAM0008m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1135
ABYSS,Abyss,1367,PC-8801,HAM0008a.bin,HAM0008.bmp,HAM0008m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1367
